"id";"screen_name";"description";"created_at";"location";"is_verified";"latest_following_count";"latest_followers_count";"latest_status_count";"array_agg"
2975350155;"RepMarkTakai";"Aloha!  Welcome to the official Twitter for Congressman Mark Takai (HI-01) -- husband, father, Hawaii National Guard veteran, public servant.";"2015-01-12 21:41:39";"Honolulu / Washington, D.C.";t;1808;2785;711;"{congressperson,Democrat}"
1074101017;"SusanWBrooks";"Serving the good people of Indiana’s 5th District in Congress.";"2013-01-09 15:30:38";"";t;1038;11869;3102;"{congressperson,Republican,republican}"
516880804;"BettyMcCollum04";"Proudly representing Minnesota's Fourth District in the United States House of Representatives.";"2012-03-06 20:52:11";"St. Paul, MN";t;956;14102;4091;"{congressperson,Democrat,democrat}"
818472418620608512;"RepAlLawsonJr";"This is the official twitter account for U.S. Rep. Al Lawson, Jr., FL-5";"2017-01-09 15:00:05";"Tallahassee, FL";t;345;763;74;"{congressperson,democrat}"
6577802;"RepTomPrice";"Former U.S. Representative for Georgia's 6th Congressional District. 

Current @HHSGov Secretary. Follow me @SecPriceMD.

This is an archived account.";"2007-06-04 19:24:39";"Washington, D.C.";f;3207;40841;5340;"{congressperson,Republican,republican}"
29201047;"SenJeffMerkley";"U.S. Senator from the State of Oregon. Instagram: https://t.co/pECsFBm1G1";"2009-04-06 13:38:39";"Oregon";t;527;93066;4430;"{senator,Democrat,democrat}"
213795411;"GovWalker";"Official Twitter Account of the 45th Governor of the State of Wisconsin, Scott Walker.";"2010-11-09 20:35:32";"Wisconsin";t;258;177607;9739;"{Governor,Republican}"
33537967;"amyklobuchar";"U.S. Senator from Minnesota. Follows, Retweets, Replies ≠ endorsement";"2009-04-20 14:59:36";"";t;86032;150662;5308;"{democrat,senator,Democrat}"
1058807868;"RepDeSantis";"The Official Twitter account for Congressman DeSantis. Proudly representing Florida's 6th District. Stay connected through Facebook at http://t.co/WKpKHHXK!";"2013-01-03 21:20:17";"";t;1410;14671;1957;"{congressperson,Republican,republican}"
18023868;"MassGovernor";"Official account of Governor Charlie Baker of Massachusetts.";"2008-12-10 17:06:17";"Massachusetts";t;11114;202275;8244;"{Governor,Republican}"
2863006655;"RepLawrence";"Congresswoman for Michigan's 14th District: Detroit, Southfield, Oakland and Wayne Counties.";"2014-11-05 18:46:39";"Washington, DC";t;1060;6461;2827;"{congressperson,Democrat,democrat}"
384913290;"RepJohnYarmuth";"Official Twitter Account for Congressman John Yarmuth, representing the 3rd Congressional District of Kentucky.";"2011-10-04 15:07:38";"Louisville, KY";t;355;18861;2545;"{congressperson,Democrat,democrat}"
198526130;"RepJoePitts";"Joe Pitts represents the 16th Congressional District of Pennsylvania: http://t.co/NpQGE161wQ";"2010-10-04 15:09:48";"Pennsylvania";t;114;13342;1895;"{congressperson,Republican}"
834069080;"RepDavidRouzer";"Congressman from North Carolina's 7th Congressional district";"2012-09-19 20:23:15";"";t;392;3888;491;"{congressperson,Republican,republican}"
479872233;"RepRoybalAllard";"Congresswoman Lucille Roybal-Allard, proudly representing the 40th District of California. Follow me at http://t.co/KjVfmF9CaM & http://t.co/Urj0zPAr8d.";"2012-01-31 21:30:43";"";t;1710;13730;2927;"{congressperson,Democrat,democrat}"
109287731;"SenatorShaheen";"Proud Granite Stater serving New Hampshire in the US Senate. Former Governor. Mother & Grandmother. Frequent Flyer. Pats & Red Sox Fan. Outdoor enthusiast.";"2010-01-28 15:22:44";"Washington, DC";t;5542;48258;5024;"{senator,Democrat,democrat}"
155669457;"RepDavidEPrice";"I represent NC's 4th Congressional District, including parts of Orange, Wake, and Durham Counties.";"2010-06-14 19:44:06";"";t;2346;13328;2632;"{congressperson,Democrat,democrat}"
37666984;"nikkihaley";"United States Ambassador to the United Nations";"2009-05-04 14:10:21";"South Carolina";t;141;247599;4209;"{Governor,Republican}"
2974648323;"SteveKnight25";"Proudly representing California's 25th Congressional District.";"2015-01-12 13:24:19";"";t;382;2594;299;"{congressperson,Republican,republican}"
266133081;"SenDeanHeller";"U.S. Senator Dean Heller";"2011-03-14 18:31:08";"Nevada";t;12046;41015;5522;"{senator,Republican,republican}"
236916916;"RepJimRenacci";"Serving my fourth term representing the great people of the 16th district of Ohio in the House of Representatives";"2011-01-11 17:20:35";"";t;674;20258;3079;"{congressperson,Republican,republican}"
38254095;"DorisMatsui";"Representing California's 6th Congressional District - including the capital city of Sacramento. Member of the Energy and Commerce Committee.";"2009-05-06 19:20:50";"Sacramento, CA";t;8322;21354;2128;"{congressperson,Democrat,democrat}"
19726613;"SenatorCollins";"United States Senator from Maine. 

All tweets originate from the Press Office of Senator Susan Collins.";"2009-01-29 18:56:59";"Maine";t;954;79747;2032;"{republican,senator,Republican}"
18166778;"Jim_Jordan";"Proudly serving Ohio's beautiful fourth district.";"2008-12-16 17:20:24";"Washington, D.C. ";t;5239;49543;2144;"{congressperson,Republican,republican}"
216481299;"GovMarkDayton";"Check here for updates from the Office of Governor Mark Dayton, Minnesota's 40th Governor.";"2010-11-16 21:08:36";"Saint Paul, MN";t;5468;70918;3408;"{Governor,Democrat}"
31801993;"FrankPallone";"The official Twitter account of Congressman Frank Pallone, Jr. (D), of New Jersey's 6th district, Ranking Member of @EnergyCommerce Committee.";"2009-04-16 13:51:56";"#NJ";t;1273;21811;8369;"{congressperson,Democrat,democrat}"
19028248;"DavidVitter";"U.S. Senator for the State of Louisiana https://t.co/7ZgsUS7JQF";"2009-01-15 16:49:46";"Metairie, LA / D.C.";t;6443;34033;8413;"{senator,Republican,republican}"
235217558;"SenCoryGardner";"Proudly serving the state of Colorado in the United States Senate. This is my official Senate Twitter account.";"2011-01-07 17:02:56";"Colorado";t;439;28945;3369;"{senator,Republican,republican}"
2962923040;"SenSasse";"The press office account of U.S. Sen. Sasse. His (less political/hopefully more interesting) personal account is @ BenSasse.";"2015-01-05 22:39:56";"";t;1;49611;777;"{senator,Republican,republican}"
824281456079933442;"RepBecerra";"@RepBecerra followers: Please note that the official Twitter account for California Attorney General Xavier Becerra is now @AGBecerra.";"2017-01-25 15:43:08";"";f;0;25;1;"{congressperson,Democrat,democrat}"
24745957;"RepHankJohnson";"I fight for justice, civil rights and working people the world over.";"2009-03-16 18:52:49";"Lithonia, GA; Washington";t;732;24123;3466;"{congressperson,Democrat,democrat}"
15856366;"LamarSmithTX21";"I represent the 21st District of TX in Congress and Chair the Science, Space, and Technology Committee. Join me: https://t.co/mIljMWAOmi";"2008-08-14 21:53:40";"";t;3685;20491;2705;"{congressperson,Republican,republican}"
117839957;"hickforco";"Colorado Governor John Hickenlooper's personal twitter account. Follow my official Governor's account @GovOfCO";"2010-02-26 19:57:34";"Colorado";t;576;82500;2737;"{Governor,Democrat}"
1060487274;"RepDougCollins";"Working for Georgia's 9th Congressional District. Pastor, Attorney, Military Chaplain. Find me @HouseJudiciary when in session, beautiful #GA09 all other times.";"2013-01-04 13:43:55";"Gainesville, Georgia";t;906;9727;2794;"{congressperson,Republican,republican}"
29766367;"RepSamGraves";"Proudly representing Missouri's Sixth Congressional District";"2009-04-08 17:20:43";"";t;816;11555;6896;"{congressperson,Republican,republican}"
221162525;"SenToomey";"Official Twitter account for Pat Toomey. Husband. Father. U.S. Senator for Pennsylvania.";"2010-11-29 22:32:09";"";t;1043;68041;3620;"{senator,Republican,republican}"
240427862;"RepMcKinley";"Proud to serve the First District of West Virginia in the U.S. House of Representatives. Member of the Energy and Commerce Committee. Staff-run account";"2011-01-19 22:29:00";"";t;1027;20783;3908;"{congressperson,Republican,republican}"
153486399;"RepMarciaFudge";"I work on behalf of the people of the 11th District to create jobs, promote quality education, improve access to health care and protect civil rights for all.";"2010-06-08 17:54:06";"Cleveland / Akron, OH";t;5323;26169;4672;"{congressperson,Democrat,democrat}"
819744763020775425;"RepJenniffer";"official account by the Congresswoman of Puerto Rico representing 3.4 million U.S. citizens in Congress @HouseSmallBiz @HouseVetAffairs @NatResources @HouseGOP";"2017-01-13 03:15:56";"";f;185;1552;290;"{congressperson,republican}"
2916086925;"RepAdams";"Congresswoman. Educator. Artist.";"2014-12-11 19:54:07";"";t;922;6812;2526;"{congressperson,Democrat,democrat}"
236899846;"RepRichardHanna";"A self-made businessman, husband and father committed to representing the people of New York's 22nd Congressional District.";"2011-01-11 16:34:58";"";t;557;12234;3298;"{congressperson,Republican}"
1051127714;"RepGraceMeng";"Representing NY's 6th Congressional District - Parts of West, Central and Northeast Queens.

For specific questions or concerns, please contact my office.";"2012-12-31 20:28:41";"";t;673;16215;3212;"{congressperson,Democrat,democrat}"
235271965;"RepStevePearce";"I represent New Mexico's 2nd Congressional District.  I am fighting to create jobs in NM and voice New Mexicans' other concerns in Washington.";"2011-01-07 19:44:44";"Hobbs, NM";t;793;9652;3649;"{congressperson,Republican,republican}"
1074518754;"SenatorBaldwin";"Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin. Tweets from Tammy are signed -TB.";"2013-01-09 18:29:44";"Washington, D.C.";t;2689;36936;9287;"{senator,Democrat,democrat}"
15394954;"boblatta";"Representing #OH5. Deputy Whip. Member of @HouseCommerce Committee. Chairman of the Digital Commerce & Consumer Protection Subcommittee.";"2008-07-11 18:33:24";"";t;5869;27833;5724;"{congressperson,Republican,republican}"
248735463;"RepBarbaraLee";"Progressive Democrat proudly representing the #EastBay CA-13 in Congress. Working to promote economic & racial justice, peace & human rights in the US & abroad.";"2011-02-07 16:28:28";"Washington, D.C.";t;16412;103681;6202;"{congressperson,Democrat,democrat}"
2303719598;"GovMattMead";"Official Twitter Account of Governor Matt Mead. Wyoming's 32nd Governor. http://t.co/ffUVx18jJp";"2014-01-21 21:14:54";"Wyoming";t;23;4047;476;"{Governor,Republican}"
1128781184;"RepMurphyFL";"Rep. Patrick E. Murphy represents Martin, St. Lucie, and northern Palm Beach counties in the U.S. House of Representatives.";"2013-01-28 17:56:38";"Florida 18";t;794;10707;1986;"{congressperson,Democrat}"
2861616083;"USRepGaryPalmer";"Proudly serving the people of Alabama's 6th Congressional District.";"2014-11-04 22:58:38";"";t;881;5724;1555;"{congressperson,Republican,republican}"
20552026;"RepPerlmutter";"Member of Congress, proudly representing the 7th District of Colorado https://t.co/wLRJaGd9rX";"2009-02-10 22:17:52";"Colorado";t;4293;19783;3165;"{congressperson,Democrat,democrat}"
41533245;"aguilarpete";"Dad. Husband. Former pothole filling Mayor and newly elected Representative of California's 31st district. Living the dream. Personal account";"2009-05-21 05:04:40";"Redlands, CA";f;569;2225;721;"{congressperson,Democrat,democrat}"
1061292174;"RepJeffMiller";"Congressman Jeff Miller represents Florida's First Congressional District.  He serves as Chairman of the House VA Committee.";"2013-01-04 20:01:32";"Chumuckla, FL/Washington, D.C.";t;107;3816;424;"{congressperson,Republican}"
933261786;"PeacockPanache";"Politics | LGBTQ Activism | Church/State Issues | Women's Rights | and More";"2012-11-08 00:20:50";"";f;10544;11872;32615;"{democrat}"
432771620;"RepSusanDavis";"Proudly representing the 53rd Congressional District of California. Serves on Armed Services and Ed & Workforce Committees";"2011-12-09 19:22:25";"";t;102;11317;1509;"{congressperson,Democrat,democrat}"
2966570782;"RepRubenGallego";"Proud representative of Arizona's 7th Congressional District";"2015-01-07 19:31:08";"Phoenix, AZ";t;2397;15512;2241;"{congressperson,Democrat,democrat}"
2847221717;"RepRatcliffe";"@HouseHomeland Cybersecurity Subcommittee Chairman & former federal prosecutor on @HouseJudiciary proudly representing Texas' 4th District. RTs ≠ endorsements";"2014-10-27 20:20:35";"Heath, TX";t;551;5333;1501;"{congressperson,Republican,republican}"
78445977;"GerryConnolly";"Proudly representing Virginia's 11th District";"2009-09-29 23:17:33";"Virginia's 11th District";t;237;20470;4862;"{congressperson,Democrat,democrat}"
1243902714;"JuliaBrownley26";"U.S. Representative from California's 26th District.";"2013-03-05 14:51:28";"";t;592;7782;1261;"{congressperson,Democrat,democrat}"
40302336;"RepJerryNadler";"Representing parts of Manhattan and Brooklyn. I serve on the House Judiciary + Transportation & Infrastructure committees. Follow me at http://t.co/eAS0pRYbYu";"2009-05-15 18:37:39";"New York, NY";t;1583;42399;2912;"{congressperson,Democrat,democrat}"
15361570;"jaredpolis";"father, entrepreneur,education policy, baseball, tech, politics, gaymer - My day job is representing the most beautiful Congressional district in the country";"2008-07-09 03:04:04";"Boulder, CO";t;4119;41859;5367;"{congressperson,Democrat,democrat}"
234141596;"GovMalloyOffice";"Official account of the Office of Connecticut Governor Dannel P. Malloy. Tweets are from office staff.";"2011-01-04 23:13:19";"Hartford, CT";t;869;110994;11042;"{Governor,Democrat}"
115676070;"collinpeterson";"This is the official Twitter account for Peterson For Congress, the campaign to reelect Congressman Collin C. Peterson for the 7th District of Minnesota.";"2010-02-19 14:27:10";"7th District of Minnesota";f;288;1260;80;"{congressperson,Democrat,democrat}"
2433737761;"RepHastingsFL";"Congressman Alcee L. Hastings represents parts of Broward and Palm Beach counties in the U.S. House of Representatives.";"2014-04-08 14:53:21";"Florida 20th";t;66;11302;733;"{congressperson,Democrat,democrat}"
818536152588238849;"RepGonzalez";"";"2017-01-09 19:13:21";"";f;7;261;3;"{congressperson,democrat}"
16056306;"JeffFlake";"Senator from Arizona";"2008-08-30 17:00:58";"Mesa, AZ";t;210;49509;2015;"{senator,Republican,republican}"
34340464;"RandyNeugebauer";"Former U.S. Representative of the 19th District of Texas, proud husband, father and grandfather, and avid fisherman.";"2009-04-22 17:46:22";"Lubbock, TX";t;3162;14434;3818;"{congressperson,Republican}"
14845376;"GrahamBlog";"Twitter feed for U.S. Senator Lindsey Graham of South Carolina.";"2008-05-20 13:57:21";"Washington, DC";t;2126;111236;4243;"{senator,Republican,republican}"
1404269089;"MattBevin";"Christian, Husband, Father, Veteran";"2013-05-05 06:28:42";"Kentucky, USA";t;1157;28832;5190;"{Governor,Republican}"
13218102;"JohnCornyn";"Honored to represent the great state of Texas in the US Senate.";"2008-02-07 19:52:55";"Austin, Texas";t;10965;100282;23136;"{republican,senator,Republican}"
48086014;"chakafattah";"Father. Husband. 20+year Former Congressman. Fattah Neuroscience Initiative ,GEARUP, AOTC & CORE Scholars / 25 Million + Helped /More to come !";"2009-06-17 19:39:50";"Philly";t;2024;12258;12927;"{congressperson,Democrat}"
960962340;"RepAndyHarrisMD";"Proud to serve the people of MD-1; Anesthesiologist; Father to Joe, Becky, Irene, Jessica, & Danny; Grandfather to Charles, Abigail, Arthur, & Andrew.";"2012-11-20 18:31:27";"Maryland's First District";t;598;9173;2527;"{congressperson,Republican,republican}"
14275291;"RosLehtinen";"Blessed to rep beautiful South Florida and the wonderful folks who live here!";"2008-04-01 14:59:30";"Miami, Florida";t;2147;92168;23580;"{congressperson,Republican,republican}"
233949261;"RepHuizenga";"I serve the people of the 2nd District of Michigan. Member of Financial Services Committee. Father of 5. Visit http://t.co/Rj7T6mD76d for even more!";"2011-01-04 14:01:28";"";t;4506;14374;5465;"{congressperson,Republican,republican}"
